DATE;ASSETS;PORTFOLIO;ACTUAL PRICE (€);AVG. ANNUAL VOLATILITY (LAST. 5 YEARS);AVG. BUY PRICE;HOLDINGS BUYED;ACTUAL HOLDINGS;TOTAL INVEST MONEY;ACTUAL MONEY;PROFIT/LOSS;PROFIT/LOSS (%);% OF THE PORTOLIO;% OF THE TOTAL;Portfolio Risk Contribution (to the square)
10/03/2024;SHIBA;CRYPTO;0,00003062 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;236,32 €;108,73 €;85,21%;0,38%;0,04%;0,00%
10/03/2024;POLYGON MATIC;CRYPTO;1,12 €;200%;1,04 €;1049,652461;1082,318457;1.091,22 €;1.171,10 €;79,88 €;7,32%;1,89%;0,21%;0,14%
10/03/2024;FANTOM;CRYPTO;0,71 €;120%;1,00 €;1390;705,88;1.393,89 €;992,60 €;-401,29 €;-28,79%;1,60%;0,18%;0,04%
10/03/2024;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;10.700,00 €;11.857,60 €;1.157,60 €;10,82%;4,10%;2,09%;0,00%
14/02/2024;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;860;860;860,00 €;860,00 €;0,00 €;0,00%;0,46%;0,15%;0,00%
14/02/2024;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;14546,24;14546,24;14.546,24 €;14.546,24 €;0,00 €;0,00%;7,75%;2,57%;0,00%
14/02/2024;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;10,38;10,38;10,38 €;10,38 €;0,00 €;0,00%;0,01%;0,00%;0,00%
14/02/2024;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
14/02/2024;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;87,91 €;14%;71,51 €;18;18;1.287,18 €;1.582,42 €;295,24 €;22,94%;5,76%;0,28%;0,01%
14/02/2024;BITCOIN;CRYPTO;47.956,57 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;1.633,59 €;817,62 €;100,20%;2,64%;0,29%;0,01%
14/02/2024;CARDANO;CRYPTO;0,53 €;70%;1,14 €;200;211,2736383;228,16 €;106,78 €;-121,38 €;-53,20%;0,17%;0,02%;0,00%
14/02/2024;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;69,96 €;-57,63 €;-45,17%;0,11%;0,01%;0,00%
14/02/2024;POLYGON MATIC;CRYPTO;0,82 €;200%;1,04 €;1049,652461;1082,318457;1.091,22 €;863,02 €;-228,19 €;-20,91%;1,39%;0,15%;0,08%
14/02/2024;FANTOM;CRYPTO;0,38 €;120%;1,00 €;1390;705,88;1.393,89 €;527,51 €;-866,39 €;-62,16%;0,85%;0,09%;0,01%
14/02/2024;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;7.200,00 €;8.169,96 €;969,96 €;13,47%;2,83%;1,44%;0,00%
06/01/2024;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;860;860;860,00 €;860,00 €;0,00 €;0,00%;0,46%;0,15%;0,00%
